id,first_name,last_name,email,country,ad_channel,reg_date
9,Dominic,Lawrence,dominic.lawrence@yahoo.com,US,organic,2018-06-02
12,Hannah,Medina,hmedina@gmail.com,UK,organic,2018-06-03
13,Sara,Preston,sp1982@gmail.com,China,organic,2018-06-03
19,Denise,Jones,he2007@mail.com,US,organic,2018-06-03
24,Linda,Cooper,lcooper@yahoo.com,UK,organic,2018-06-03
31,Christopher,Myers,myers1980@gmail.com,India,organic,2018-06-04
32,Austin,Barajas,barajas1992@hotmail.com,India,organic,2018-06-04
46,Melissa,Stewart,particular1988@bing.com,US,organic,2018-06-05
47,Kelly,Brock,brock1999@yahoo.com,Germany,organic,2018-06-05
67,Jacqueline,Greene,greene1998@mail.com,Spain,organic,2018-06-07
66,Zachary,Wolfe,zw1996@bing.com,India,organic,2018-06-07
74,Nicholas,Rogers,nicholas.rogers@yahoo.com,US,organic,2018-06-08
84,Rebecca,Lyons,lyons1999@bing.com,Spain,organic,2018-06-08
85,Lindsay,Montes,lmontes@hotmail.com,Germany,organic,2018-06-08
89,Tamara,Baker,hour1991@hotmail.com,Germany,organic,2018-06-08
96,Gregory,Thompson,gregory.thompson@yahoo.com,India,organic,2018-06-08
105,Anthony,Lewis,lewis2021@gmail.com,US,organic,2018-06-09
110,Ryan,Powell,powell1993@mail.com,India,organic,2018-06-09
127,James,Taylor,majority1984@bing.com,China,organic,2018-06-10
128,Becky,Benton,bb2002@gmail.com,US,organic,2018-06-10
138,Megan,Smith,smith1982@gmail.com,US,organic,2018-06-11
144,Eric,Jordan,jordan1994@mail.com,US,organic,2018-06-11
159,Sarah,Hall,sarah.hall@bing.com,India,organic,2018-06-13
166,Logan,Wolf,wolf2009@yahoo.com,US,organic,2018-06-14
167,Travis,Wade,travis.wade@hotmail.com,US,organic,2018-06-14
170,Heidi,Nichols,heidi.nichols@gmail.com,US,organic,2018-06-15
173,Janet,Frank,jf1994@mail.com,China,organic,2018-06-15
178,Patricia,Peterson,pp1995@gmail.com,China,organic,2018-06-16
182,Mckenzie,Phillips,phillips1997@mail.com,Danmark,organic,2018-06-16
193,Nancy,Valencia,notice1996@hotmail.com,US,organic,2018-06-16
194,Jeffrey,King,jking@yahoo.com,Brazil,organic,2018-06-16
196,Nicole,Woods,nicole.woods@bing.com,Sweden,organic,2018-06-17
198,Monica,Malone,maintain1989@gmail.com,UK,organic,2018-06-17
