client_name,timestamp,store_id,review,rating
Monique Skinner,2023-09-04 19:15:08,485,Very dissatisfied!,1
Lisa Steele,2023-09-04 18:42:25,421,Had higher expectations.,2
Stephanie Rowe,2023-09-02 21:11:19,418,I regret coming here.,1
Michael Christensen,2023-09-03 07:29:26,40,I regret coming here.,1
Cynthia Elliott,2023-09-04 04:21:59,335,Perfect ambiance!,5
Anthony Hicks,2023-09-02 06:56:16,165,Frustrating experience.,1
Robert Riggs,2023-09-03 20:06:58,188,Could be better.,2
Kathy Weaver,2023-09-01 21:25:23,240,I regret coming here.,1
Isaac Roberts,2023-09-01 09:39:00,168,Horrible service!,1
Steve Martinez,2023-09-01 03:22:23,544,Good value for money.,4
Jacqueline Owens,2023-09-02 13:00:46,34,Might come back.,3
Holly Stone,2023-09-01 14:08:34,310,Expected better.,2
Jason Rosales,2023-09-03 01:50:05,324,Very dissatisfied!,1
Melinda Parker,2023-09-04 10:27:36,163,Okay for the price.,3
Anthony Stark DDS,2023-09-02 01:48:09,91,Service was decent.,3
Louis Williams,2023-09-01 03:16:41,128,Service was decent.,3
Tony Kerr,2023-09-03 11:57:03,263,Impressive attention to detail.,5
Michelle Barrera,2023-09-01 04:52:01,469,I'm not impressed.,2
Samantha Wells,2023-09-02 08:05:50,376,Pretty good!,4
Brian Glass,2023-09-03 00:28:27,522,Impressive attention to detail.,5
Ryan Rangel,2023-09-03 17:10:54,283,Typical visit.,3
Steven Gardner,2023-09-01 16:32:19,503,Excellent service!,5
Lisa Rose,2023-09-03 02:36:29,161,Had higher expectations.,2
Larry Ramsey,2023-09-03 07:24:10,96,Pretty good!,4
Regina Black,2023-09-02 07:53:44,207,I had a pleasant time.,4
Mark Young PhD,2023-09-03 18:45:02,117,Perfect ambiance!,5
Melissa Stein,2023-09-04 21:50:37,548,Average service.,3
Martha Hanson,2023-09-04 22:42:15,49,A bit disappointing.,2
John Holloway,2023-09-04 08:55:25,376,Wasn't disappointed but wasn't impressed either.,3
Cynthia Pearson,2023-09-04 01:35:30,315,I had a pleasant time.,4
Zachary Villa,2023-09-04 13:48:54,250,Waste of time.,1
Kimberly Stephenson,2023-09-02 04:52:23,43,Had higher expectations.,2
