"id","email","reg_date","first_name","last_name","country","user_uuid"
1124,ts2000@hotmail.com,2020-06-28,Timothy,Simmons,US,a7c9b0bd-475e-4e49-8c4f-ff78063cff2e
1766,martinez1985@bing.com,2020-09-20,Jose,Martinez,China,"73682891-8f7e-4890-a32a-0422437a588d"
4132,patton1986@gmail.com,2021-09-01,Maria,Patton,India,"5e77f1a0-af6f-4216-99fc-b91d2f7fdd63"
3662,jonathan.vaughan@mail.com,2021-06-23,Jonathan,Vaughan,China,"557118ac-5bf9-4765-a036-b781daf93597"
4804,bsingleton@mail.com,2021-12-15,Bradley,Singleton,Germany,fc8a9241-3e12-4c77-b21a-fd6e9b6466b4
6370,robert.hale@bing.com,2022-07-17,Robert,Hale,France,bfeaa8a1-eee0-4c30-90b9-de777a0bc450
6697,edwards1980@hotmail.com,2022-08-28,Emma,Edwards,US,"104ed74d-43b3-4fae-be7f-cf7bb7d47976"
4111,sg2010@gmail.com,2021-08-29,Scott,Gallagher,UK,d44bea05-0703-421f-8a11-2c27b88b443c
4824,gina.mccall@mail.com,2021-12-18,Gina,Mccall,China,d0873e83-0b04-42f8-9ab3-bf70410d3df4
7212,wells2021@gmail.com,2022-11-07,Erica,Wells,Brazil,de983640-2825-4518-9f77-e20a07ec63fb
7104,drop1984@yahoo.com,2022-10-22,Steven,Weber,France,e8f3b998-69bd-4781-ae9f-2ef10109af86
2013,jb1982@bing.com,2020-10-23,John,Beasley,Brazil,bc02128e-70c4-408a-94d7-e1c0152b39ef
2672,rf2021@gmail.com,2021-01-28,Rebecca,Francis,US,"51ba71c8-c385-40ed-a015-55b741e76f17"
2339,traditional2008@yahoo.com,2020-12-12,Danielle,Bartlett,US,c69dfb5b-0016-40b5-9a4b-972ebccd20c8
2010,jennifer.ayers@bing.com,2020-10-22,Jennifer,Ayers,Germany,"8f0df758-a8ca-49e4-abff-ab4d46396d1b"
5691,jmckenzie@gmail.com,2022-05-01,Jessica,Mckenzie,UK,ceeb4053-93c6-4cf5-95e1-de8b34c49dbc
3768,linda.blanchard@gmail.com,2021-07-06,Linda,Blanchard,France,"40cb83bd-ec6c-4c2f-bde8-181f3c675319"
6247,network2001@hotmail.com,2022-07-04,Ronald,Miller,Brazil,db592b23-add7-4c85-87a2-e961c3203232
3805,carpenter2017@hotmail.com,2021-07-12,David,Carpenter,France,f5a04cc6-6260-48ad-b92e-b317cd51b1bc
6770,lacey.rodriguez@hotmail.com,2022-09-07,Lacey,Rodriguez,Sweden,e35faf55-2977-48b3-ad36-51556461075a
5013,rwaller@mail.com,2022-01-16,Richard,Waller,US,"2b803eec-d9f6-42e5-9063-b1323a1e2c83"
3692,hogan1984@bing.com,2021-06-26,Tiffany,Hogan,Brazil,e9d499f9-9378-41af-aff6-119b296f9d75
5662,blackwell2012@hotmail.com,2022-04-27,Meagan,Blackwell,UK,cac144b1-ed7b-4e48-bc46-ec287c32fe31
5995,the2010@bing.com,2022-06-05,Amy,Watts,France,addec3b4-ef39-48ab-850e-72c0f42e16ad
3516,mschmidt@mail.com,2021-06-04,Mike,Schmidt,US,"62516981-ba57-431d-a539-d04423faa058"
